Trade#,Date,Symbol,Strategy,Leg#,Action,Strike,Type,PositionEffect,Quantity,Price,PlaidID,Match,Fees
1,2025-10-15,AVGO,"AVGO Call Credit Spread",1,sell,375,call,open,1,10.68,inv_1761116098052_stnkqu9jm,YES,0.0000
1,2025-10-15,AVGO,"AVGO Call Credit Spread",2,buy,380,call,open,1,9.23,inv_1761116098214_sstn0gini,YES,0.0000
2,2025-10-07,MU,"MU Put Credit Spread",1,sell,182.5,put,close,1,3.21,inv_1761116099071_3ymewn99g,YES,0.0000
2,2025-10-07,MU,"MU Put Credit Spread",2,buy,185,put,close,1,3.95,inv_1761116099243_ok6cre193,YES,0.0000
3,2025-10-23,LRCX,"LRCX Put Credit Spread",1,sell,141,put,close,1,2.31,inv_1761508182043_b8vro5kq9,YES,0.0000
3,2025-10-23,LRCX,"LRCX Put Credit Spread",2,buy,144,put,close,1,3.26,inv_1761508181500_v5xjwxlhj,YES,0.0000
4,2025-10-07,AMD,"AMD Put Credit Spread",1,sell,185,put,close,1,4.59,inv_1761116099580_v8wf2qf9a,YES,0.0000
4,2025-10-07,AMD,"AMD Put Credit Spread",2,buy,190,put,close,1,6.01,inv_1761116099415_knndu7djh,YES,0.0000
5,2025-10-06,LRCX,"LRCX Put Credit Spread",1,buy,141,put,open,1,4.3,inv_1761116100274_71ruskd9c,YES,0.0000
5,2025-10-06,LRCX,"LRCX Put Credit Spread",2,sell,144,put,open,1,5.35,inv_1761116100089_xsgp0wxyu,YES,0.0000
6,2025-10-06,MU,"MU Put Credit Spread",1,buy,182.5,put,open,1,4.25,inv_1761116100616_8cxzkeyky,YES,0.0000
6,2025-10-06,MU,"MU Put Credit Spread",2,sell,185,put,open,1,5.15,inv_1761116100446_dclvn1snn,YES,0.0000
7,2025-10-06,AMD,"AMD Put Credit Spread",1,buy,185,put,open,1,7.2,inv_1761116099914_zeh6lbxlx,YES,0.0000
7,2025-10-06,AMD,"AMD Put Credit Spread",2,sell,190,put,open,1,9,inv_1761116099744_ed0gkdbgn,YES,0.0000
8,2025-10-01,NKE,"NKE Put Credit Spread",1,sell,66,put,close,2,0.39,inv_1761116101280_yme9ufvtl,YES,0.0000
